数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
89,0.99393321,0.447213595,-1.341640786,-1.224744871,-0.292770022,84.44937565,61.18276997,17.84489606,0.830539788,,,,,,,18189.7587,830.5397882
90,-0.141990459,1.341640786,-1.341640786,1.224744871,-0.292770022,91.89459022,71.32962129,23.23624866,0.774515829,,,,,,,18189.7587,774.5158292
91,0.709952293,-0.447213595,1.341640786,1.224744871,-1.463850109,65.1803476,21.84840363,23.01947179,0.916603067,,,,,,,20885.50993,916.603067
92,-0.141990459,1.341640786,-1.341640786,-1.224744871,1.463850109,97.32251185,81.02736911,18.87903457,0.854891126,,,,,,,20885.50993,854.891126
93,0.283980917,-0.447213595,1.341640786,1.224744871,-0.878310066,84.7049392,29.34439281,23.45295499,1.026533955,,,,,,,23669.59277,1026.533955
94,0.283980917,-0.447213595,1.341640786,1.224744871,-1.463850109,64.81705397,20.76131294,23.01947179,0.952545328,,,,,,,23669.59277,952.5453284
95,0.283980917,1.341640786,-1.341640786,1.224744871,-0.292770022,97.32779185,72.73429435,23.23624866,0.755351142,,,,,,,18362.13224,755.3511421
96,0.283980917,-0.447213595,-1.341640786,-1.224744871,0.878310066,88.90014749,33.14211613,18.53446871,0.692515577,,,,,,,18362.13224,692.5155767
97,0.709952293,1.341640786,1.341640786,-1.224744871,-1.463850109,63.63239556,24.88809994,17.67240468,0.833692538,,,,,,,21079.91317,833.6925382
98,0.283980917,-0.447213595,-1.341640786,1.224744871,-0.878310066,88.14443886,36.93338087,22.80262232,0.765625384,,,,,,,21079.91317,765.6253839
99,-0.141990459,0.447213595,1.341640786,1.224744871,0.878310066,106.5856401,43.8842856,24.75181749,0.929305766,,,,,,,23886.1639,929.3057664
100,0.709952293,0.447213595,1.341640786,-1.224744871,-1.463850109,66.70119058,26.51453819,17.67240468,0.851875171,,,,,,,23886.1639,851.875171
101,0.99393321,-0.447213595,1.341640786,1.224744871,-0.292770022,91.73479777,32.72046994,23.8861639,1.164010289,,,,,,,18189.7587,1164.010289
102,0.99393321,-0.447213595,1.341640786,-1.224744871,0.292770022,85.25017196,19.41368214,18.70676915,1.122242956,,,,,,,18189.7587,1122.242956
103,0.709952293,1.341640786,1.341640786,1.224744871,0.878310066,115.338821,51.29749862,24.75181749,1.296860787,,,,,,,20885.50993,1296.860787
104,0.283980917,-0.447213595,1.341640786,-1.224744871,-1.463850109,68.33483997,24.56316456,17.67240468,1.248865407,,,,,,,20885.50993,1248.865407
105,0.99393321,1.341640786,-1.341640786,1.224744871,-1.463850109,87.73687387,49.33062813,22.368697,1.474472232,,,,,,,23669.59277,1474.472232
106,0.99393321,0.447213595,-1.341640786,-1.224744871,1.463850109,85.867137,73.82792836,18.87903457,1.399465104,,,,,,,23669.59277,1399.465104
107,0.283980917,1.341640786,-1.341640786,1.224744871,-0.878310066,100.5506871,58.42616553,22.80262232,1.01332627,,,,,,,18362.13224,1013.32627
108,0.283980917,-0.447213595,-1.341640786,-1.224744871,-1.463850109,66.16007342,42.89006034,17.15467555,0.96387778,,,,,,,18362.13224,963.8777795
109,0.283980917,0.447213595,1.341640786,1.224744871,-0.292770022,95.34124885,35.8466526,23.8861639,1.114209748,,,,,,,21079.91317,1114.209748
110,0.283980917,-0.447213595,1.341640786,1.224744871,1.463850109,118.6368224,34.70842933,25.18428894,1.058284748,,,,,,,21079.91317,1058.284748
111,-0.141990459,1.341640786,-1.341640786,-1.224744871,0.292770022,87.89834428,56.55875605,18.1897587,1.24562844,,,,,,,23886.1639,1245.62844
112,0.99393321,-0.447213595,1.341640786,1.224744871,-0.878310066,81.58625732,24.90327003,23.45295499,1.195677863,,,,,,,23886.1639,1195.677863
113,0.283980917,0.447213595,-1.341640786,-1.224744871,0.878310066,89.95826986,46.36095199,18.53446871,0.906008246,,,,,,,18534.46871,906.008246
114,0.283980917,1.341640786,-1.341640786,-1.224744871,1.463850109,98.16441316,81.18457558,18.87903457,0.852759677,,,,,,,18534.46871,852.7596768
115,0.283980917,1.341640786,1.341640786,-1.224744871,0.878310066,98.6217527,44.8076703,19.05126592,0.999678701,,,,,,,21274.26653,999.6787011
116,-0.141990459,0.447213595,1.341640786,-1.224744871,0.292770022,80.56391364,32.51312679,18.70676915,0.936447653,,,,,,,21274.26653,936.4476533
117,0.99393321,1.341640786,1.341640786,-1.224744871,1.463850109,96.18935697,61.62967481,19.3956301,1.107505847,,,,,,,24102.6702,1107.505847
118,-0.141990459,1.341640786,1.341640786,-1.224744871,-0.878310066,71.57426229,29.13804217,18.01734701,1.041419725,,,,,,,24102.6702,1041.419725
119,0.283980917,0.447213595,1.341640786,1.224744871,1.463850109,117.7462668,45.64593625,25.18428894,0.827512135,,,,,,,18706.76915,827.5121345
120,0.709952293,1.341640786,1.341640786,1.224744871,1.463850109,115.9527013,66.23418309,25.18428894,0.773538246,,,,,,,18706.76915,773.5382461
121,0.283980917,1.341640786,-1.341640786,1.224744871,-1.463850109,89.47471749,52.38300142,22.368697,0.907855755,,,,,,,21468.57138,907.855755
