Data number,Slot opening width Bs0 (mm),Axial length of permanent magnet/moving pole distance a,Air gap thickness gap (mm),Coil radial width rcoil (mm),Permanent magnet radial length rpm (mm),Average thrust (N),Thrust fluctuation (N),Average copper loss (W)
144,0.709952293,1.341640786,1.341640786,1.224744871,0.292770022,105.1306485,49.38655492,24.31911344
145,-1.845875961,-1.341640786,-1.341640786,-1.224744871,-1.463850109,57.1000656,29.81171154,17.15467555
146,0.99393321,-1.341640786,-1.341640786,-1.224744871,-1.463850109,54.66046051,44.80085682,17.15467555
147,-1.845875961,-1.341640786,-1.341640786,0,-1.463850109,63.91894309,32.64214201,19.71795869
148,0.99393321,-1.341640786,-1.341640786,0,-1.463850109,65.39936018,45.91128252,19.71795869
149,-1.845875961,-1.341640786,-1.341640786,1.224744871,-1.463850109,78.0910534,23.61307171,22.368697
150,0.99393321,-1.341640786,-1.341640786,1.224744871,-1.463850109,74.09399215,44.46193153,22.368697
151,-1.845875961,-1.341640786,-0.447213595,-1.224744871,-1.463850109,59.38468622,19.54698449,17.32729571
152,0.99393321,-1.341640786,-0.447213595,-1.224744871,-1.463850109,57.54514116,37.48686779,17.32729571
153,-1.845875961,-1.341640786,-0.447213595,0,-1.463850109,68.18383657,22.68191503,19.91269334
154,0.99393321,-1.341640786,-0.447213595,0,-1.463850109,71.75577183,34.93064176,19.91269334
155,-1.845875961,-1.341640786,-0.447213595,1.224744871,-1.463850109,76.06624678,20.05065615,22.58569814
156,0.99393321,-1.341640786,-0.447213595,1.224744871,-1.463850109,74.61071999,36.3271897,22.58569814
157,-1.845875961,-1.341640786,0.447213595,-1.224744871,-1.463850109,59.52664816,20.09324244,17.49987165
158,0.99393321,-1.341640786,0.447213595,-1.224744871,-1.463850109,58.7017584,30.44126363,17.49987165
159,-1.845875961,-1.341640786,0.447213595,0,-1.463850109,64.75654531,18.39167794,20.10736863
160,0.99393321,-1.341640786,0.447213595,0,-1.463850109,65.68380122,29.55497781,20.10736863
161,-1.845875961,-1.341640786,0.447213595,1.224744871,-1.463850109,72.27859891,25.86336333,22.80262232
162,0.99393321,-1.341640786,0.447213595,1.224744871,-1.463850109,69.96018379,35.83014011,22.80262232
163,-1.845875961,-1.341640786,1.341640786,-1.224744871,-1.463850109,55.9724043,18.96710867,17.67240468
164,0.99393321,-1.341640786,1.341640786,-1.224744871,-1.463850109,57.87901629,26.18150108,17.67240468
165,-1.845875961,-1.341640786,1.341640786,0,-1.463850109,63.99593694,15.68580594,20.30198629
166,0.99393321,-1.341640786,1.341640786,0,-1.463850109,63.97931177,26.15006537,20.30198629
167,-1.845875961,-1.341640786,1.341640786,1.224744871,-1.463850109,71.27993821,29.81103781,23.01947179
168,0.99393321,-1.341640786,1.341640786,1.224744871,-1.463850109,73.83013576,30.95244549,23.01947179
169,-1.845875961,-1.341640786,-1.341640786,-1.224744871,-0.878310066,59.98352736,29.90425145,17.49987165
170,0.99393321,-1.341640786,-1.341640786,-1.224744871,-0.878310066,65.42373252,48.08157533,17.49987165
171,-1.845875961,-1.341640786,-1.341640786,0,-0.878310066,74.70325904,19.65942126,20.10736863
172,0.99393321,-1.341640786,-1.341640786,0,-0.878310066,71.94569765,36.48335859,20.10736863
173,-1.845875961,-1.341640786,-1.341640786,1.224744871,-0.878310066,87.95618159,31.24881755,22.80262232
174,0.99393321,-1.341640786,-1.341640786,1.224744871,-0.878310066,85.1550126,66.16115068,22.80262232
175,-1.845875961,-1.341640786,-0.447213595,-1.224744871,-0.878310066,65.36562095,19.85494755,17.67240468
176,0.99393321,-1.341640786,-0.447213595,-1.224744871,-0.878310066,63.06994995,34.10306101,17.67240468
177,-1.845875961,-1.341640786,-0.447213595,0,-0.878310066,74.37018309,24.97924008,20.30198629
178,0.99393321,-1.341640786,-0.447213595,0,-0.878310066,75.35880969,39.54893865,20.30198629
179,-1.845875961,-1.341640786,-0.447213595,1.224744871,-0.878310066,83.73754895,40.26378795,23.01947179
180,0.99393321,-1.341640786,-0.447213595,1.224744871,-0.878310066,79.46376404,44.8694419,23.01947179
181,-1.845875961,-1.341640786,0.447213595,-1.224744871,-0.878310066,62.08590936,24.08921144,17.84489606
182,0.99393321,-1.341640786,0.447213595,-1.224744871,-0.878310066,64.4092487,27.24106833,17.84489606
183,-1.845875961,-1.341640786,0.447213595,0,-0.878310066,74.83066255,15.92416021,20.496548
184,0.99393321,-1.341640786,0.447213595,0,-0.878310066,71.21895756,33.21339575,20.496548
185,-1.845875961,-1.341640786,0.447213595,1.224744871,-0.878310066,81.04153388,30.83747683,23.23624866
186,0.99393321,-1.341640786,0.447213595,1.224744871,-0.878310066,77.11314997,39.14834323,23.23624866
187,-1.845875961,-1.341640786,1.341640786,-1.224744871,-0.878310066,65.92705677,22.0269275,18.01734701
188,0.99393321,-1.341640786,1.341640786,-1.224744871,-0.878310066,61.42478166,23.86022299,18.01734701
189,-1.845875961,-1.341640786,1.341640786,0,-0.878310066,70.05887667,17.81179554,20.69105537
190,0.99393321,-1.341640786,1.341640786,0,-0.878310066,69.20876989,24.63870075,20.69105537
191,-1.845875961,-1.341640786,1.341640786,1.224744871,-0.878310066,78.73820755,24.99819405,23.45295499
192,0.99393321,-1.341640786,1.341640786,1.224744871,-0.878310066,78.99042882,26.85737159,23.45295499
